name;parent;categoria;descripcion
Otros;;;Entidades acelulares
Ribovira;Otros;Dominio;Virus con genoma de ARN o que usan retrotranscripción para replicarse
Floreoviria ;Otros;Dominio;Virus de ARN monocatenario positivo que infectan principalmente a plantas
Duplodnaviria ;Otros;Dominio;Virus de ADN bicatenario con una estructura de cápside tipo HK97
Efunaviria ;Otros;Dominio;Virus de ADN que infectan arqueas y bacterias en ambientes extremos
Orthornavirae;Ribovira;Reino;Virus de ARN verdaderos que codifican una RdRp
Pararnavirae;Ribovira;Reino;Virus con genomas de ARN o ADN que utilizan transcripción inversa
Shotokuvirae;Floreoviria ;Reino;Virus de ADN monocatenario que codifican una proteína de replicación HUH
Heunggongvirae;Duplodnaviria ;Reino;Bacteriófagos de cola tradicionales
Loebvirae;Efunaviria ;Reino;Virus filamentosos o pleomórficos de ADN monocatenario que infectan bacterias
Kitrinoviricota;Orthornavirae;Filo/División;Virus de ARN monocatenario positivo que infectan plantas y animales
Pisuviricota;Orthornavirae;Filo/División;Virus de ARN monocatenario positivo y bicatenario que infectan plantas, hongos y animales.
Negarnaviricota;Orthornavirae;Filo/División;Virus de ARN monocatenario de sentido negativo
Duplornaviricota;Orthornavirae;Filo/División;Virus de ARN bicatenario con cápsides concéntricas dobles
Lenarviricota  ;Orthornavirae;Filo/División;Virus de ARN monocatenario positivo simples que infectan bacterias, hongos y plantas
Artverviricota;Pararnavirae;Filo/División;Virus de transcripción inversa que incluye a los retrovirus tradicionales y pararetrovirus
Cressdnaviricota;Shotokuvirae;Filo/División;Virus de ADN monocatenario circular que codifican una proteína de replicación HUH
Cossaviricota;Shotokuvirae;Filo/División;Virus de ADN bicatenario
Peploviricota ;Heunggongvirae;Filo/División;Virus de ADN bicatenario con envoltura lipídica
Uroviricota;Heunggongvirae;Filo/División;Bacteriófagos de cola con ADN bicatenario
Hofneiviricota ;Loebvirae;Filo/División;Virus filamentosos de ADN monocatenario que infectan bacterias
Alsuviricetes;Kitrinoviricota;Clase;Virus de ARN monocatenario positivo
Flasuviricetes;Kitrinoviricota;Clase;Flavivirus clásicos transmitidos por artrópodos
Pisoniviricetes;Pisuviricota;Clase;Virus de ARN monocatenario positivo
Duplopiviricetes;Pisuviricota;Clase;Virus de ARN bicatenario
Stelpaviricetes;Pisuviricota;Clase;Virus de ARN monocatenario positivo
Bunyaviricetes;Negarnaviricota;Clase;Virus de ARN monocatenario negativo segmentados
Monjiviricetes;Negarnaviricota;Clase;Virus de ARN monocatenario negativo no segmentados
Insthoviricetes;Negarnaviricota;Clase;Virus de ARN monocatenario negativo
Chrymotiviricetes;Duplornaviricota;Clase;Virus de ARN bicatenario y monocatenario positivo que infectan hongos y plantas
Howeltoviricetes;Lenarviricota  ;Clase;Virus de ARN monocatenario positivo
Revtraviricetes ;Artverviricota;Clase;Virus que utilizan la enzima retrotranscriptasa para replicar su genoma
Repensiviricetes ;Cressdnaviricota;Clase;Virus de ADN monocatenario circular de replicación por círculo rodante
Papovaviricetes  ;Cossaviricota;Clase;Virus de ADN bicatenario pequeños sin envoltura
Herviviricetes ;Peploviricota ;Clase;Clase que agrupa exclusivamente a los herpesvirus
Caudoviricetes ;Uroviricota;Clase;Bacteriófagos de cola con ADN bicatenario, muy abundantes en la naturaleza
Faserviricetes  ;Hofneiviricota ;Clase;Virus filamentosos de ADN monocatenario
Tymovirales;Alsuviricetes;Orden;Virus de ARN monocatenario positivo que infectan plantas
Martellivirales ;Alsuviricetes;Orden;Virus de ARN monocatenario positivo que infectan principalmente plantas y hongos
Amarillovirales ;Flasuviricetes;Orden;Virus del dengue y fiebre amarilla
Picornavirales ;Pisoniviricetes;Orden;Virus de ARN monocatenario positivo pequeños que infectan animales, plantas e insectos
Sobelivirales ;Pisoniviricetes;Orden;Virus de ARN monocatenario positivo
Nidovirales ;Pisoniviricetes;Orden;Virus de ARN monocatenario positivo con genomas grandes
Durnavirales ;Duplopiviricetes;Orden;Virus de ARN bicatenario que infecta hongos, plantas y animales
Patatavirales ;Stelpaviricetes;Orden;Virus de ARN monocatenario positivo que infectan cultivos
Elliovirales;Bunyaviricetes;Orden;Virus de ARN monocatenario negativo segmentados
Mononegavirales ;Monjiviricetes;Orden;Virus de ARN monocatenario negativo no segmentados
Articulavirales ;Insthoviricetes;Orden;Virus de ARN monocatenario negativo con genoma segmentado
Ghabrivirales ;Chrymotiviricetes;Orden;Virus de ARN bicatenario que infectan principalmente hongos y protozoos
Cryppavirales  ;Howeltoviricetes;Orden;Virus de ARN monocatenario positivo
Ortervirales ;Revtraviricetes ;Orden;Virus de transcripción inversa
Geplafuvirales ;Repensiviricetes ;Orden;Virus de ADN monocatenario circular que infectan plantas y animales
Zurhausenvirales  ;Papovaviricetes  ;Orden;Orden de virus de ADN bicatenario pequeños
Herpesvirales ;Herviviricetes ;Orden;Virus de ADN bicatenario grandes con envoltura lipídica que infectan animales
Pantevenvirales ;Caudoviricetes;Orden;Virus de ADN bicatenario que infectan exclusivamente a las arqueas
Autographivirales ;Caudoviricetes;Orden;Bacteriófagos de cola con ADN bicatenario que codifican su propia ARN polimerasa
Tubulavirales ;Faserviricetes  ;Orden;Virus filamentosos de ADN monocatenario que infectan bacterias sin lisar la célula
Alphaflexiviridae ;Tymovirales;Familia;Virus de plantas y hongos con viriones filamentosos y genoma de ARN monocatenario positivo
